13.24,ANG,"2006 Cross Lane , Whitefield, Moray, UB3 9ZM",Springdale
19.23,DKK,"0077 Linnet Road , Connah's Quay, Merionethshire, WR1 1FL",Cedar Rapids
9.01,EUR,"0095 Camberley Avenue , Perth, Carmarthenshire, M9 0CS",Rockford
33.08,XCD,"7307 Hobbs , Carrog, Staffordshire, KT13 8QE",Aurora
45.38,DKK,"7448 Lucas , Lostwithiel, Caernarvonshire, TF54 9MI",Fresno
98.52,KPW,"4254 Cottenham , Earlestown, Moray, L7 9MD",Cambridge
76.62,USD,"9704 Doughty Avenue , Uxbridge, Carmarthenshire, SG72 6OF",Kenosha
36.11,XOF,"1106 Briarcroft Road , Northstowe, Dumfries and Galloway, CT9 5YG",Allentown
45.89,XPF,"1556 Phillimore , Uxbridge, Hampshire, NR8 8BG",Des Moines
15.01,EUR,"7704 Breach , Middleham, Breconshire, WD3 2DU",Bridgeport
12.57,AWG,"9888 Rainshaw Road , Nailsworth, Carmarthenshire, SE1 2RY",Lewisville
11.73,SSP,"1525 Hobart Road , Clackwell, Derry and Londonderry, NR8 2AI",Portland
65.95,XBB,"1244 Higher Street , Yateley, Essex, M8 8SJ",Yakima
8.31,BSD,"7313 Givendale Road , Methil, South Lanarkshire, TW87 7FX",New Orleans
99.93,IRR,"8751 Meade Street , Totton, Hertfordshire, CV61 5UN",Tallahassee
28.05,INR,"8549 Huncoat , Rye, Nottinghamshire, MK4 0DF",Nashville
47.48,EUR,"1101 Heyridge Street , Saltburn by the Sea, Somerset, E9 7XH",Manchester
97.35,SEK,"7702 Waddington , Tunstall, Wiltshire, ME1 1JI",Racine
78.75,NPR,"7219 Sovereign , Ebbw Vale, Anglesey, KA8 2WS",Norwalk
90.13,EUR,"6762 Allama Road , Keswick, East Lothian, M83 0WE",Oakland
8.66,AUD,"7620 Upton Avenue , Galashiels, Cornwall, CH55 1FP",Cape Coral
13.05,HTG,"5645 Fernally Avenue , Anston, West Berkshire, FK56 7BL",Fort Walton Beach
6.95,CHE,"3958 Holden , Northfleet, Inverclyde, DA5 6RE",Pueblo
75.09,XAF,"6340 Cottonwood Avenue , Denholme, Shropshire, DY23 5ZL",Mobile
89.81,NZD,"9842 Linda Avenue , Dumfries, Nottinghamshire, BL2 9SG",Evansville
93.27,BOV,"8542 Abbeydale Street , Wirksworth, Argyll and Bute, PH35 6XY",Ogden
95.68,MOP,"1735 Longmeade Street , Reading, Breconshire, BL8 0WD",Boulder
51.96,CHF,"5493 Tottington Street , Northam, Pembrokeshire, DH75 8VF",Honolulu
47.6,EUR,"6069 Sandal , Alcester, Aberdeenshire, HP57 7UO",Kissimmee
25.9,SHP,"2532 Budworth Road , Chingford, Cleveland, FY27 8KI",Provo
3.46,XSU,"9328 Randlesham Circle , Largs, Orkney Islands, M3 7LD",Appleton
